datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-03-22 16:00:00,71582.0,29.44915712425297,1702838.8570385836,1070.7998046875,45909427.61506629,0.5469131469726562,29619.067226524727,0.3193203806877136,26168.872000423347,0,34764.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,335560.062676299,257371.0979455307,0
2017-03-22 17:00:00,72144.0,29.44915712425297,1719389.2833424138,1070.7998046875,46511217.105300665,0.5469131469726562,29926.43241512336,0.3193203806877136,26348.330054369842,0,35326.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,342025.4852379445,257371.0979455307,0
2017-03-22 18:00:00,73415.0,29.75051736695591,1757112.066541897,829.8280029296875,47695993.2444948,0.27593380212783813,30322.717884937618,1.8749747276306152,27296.687406280806,0,36568.30649453768,36846.69350546233,0,0,0,0,0,1.0,coal,354514.22999788297,257650.04171212463,0
2017-03-22 19:00:00,72869.0,29.71100768692783,1740875.026424026,970.1939697265625,47218953.569115296,0.28421759605407715,30170.644391660997,0.25719916820526123,26549.02614338322,0,36022.30649453768,36846.69350546233,0,0,0,0,0,1.0,coal,349408.33218773245,257650.04171212463,0
2017-03-22 20:00:00,72214.0,29.44915712425297,1721450.7243411115,1070.7998046875,46586173.09162879,0.5469131469726562,29964.716335411445,0.3193203806877136,26370.682481017982,0,35396.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,342830.78698049823,257371.0979455307,0
2017-03-22 21:00:00,71522.0,29.44915712425297,1701071.9076111284,1070.7998046875,45845179.62678504,0.5469131469726562,29586.252437706367,0.3193203806877136,26149.712777582085,0,34704.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,334869.8040398244,257371.0979455307,0
2017-03-22 22:00:00,72071.0,29.44915712425297,1717239.4948723433,1070.7998046875,46433048.71955848,0.5469131469726562,29886.507755394356,0.3193203806877136,26325.01966657964,0,35253.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,341185.6705635671,257371.0979455307,0
2017-03-22 23:00:00,72993.0,29.71100768692783,1744559.1913772048,970.1939697265625,47339257.62136139,0.28421759605407715,30205.887373571702,0.25719916820526123,26580.918840240673,0,36146.30649453768,36846.69350546233,0,0,0,0,0,1.0,coal,350686.6053810918,257650.04171212463,0
2017-03-23 00:00:00,73677.0,29.75051736695591,1764906.7020920394,829.8280029296875,47913408.18126238,0.27593380212783813,30395.01254109511,1.8749747276306152,27787.930784920027,0,36830.30649453768,36846.69350546233,0,0,0,0,0,1.0,coal,356850.2945540048,257650.04171212463,0
2017-03-23 01:00:00,76273.0,31.156505292472062,1846081.708643856,960.5191650390625,49999731.930041045,0.27192291617393494,32419.694860242525,0.5931119918823242,28921.830947992676,0,38482.69889031738,37790.30110968258,0,0,0,0,0,1.0,coal,373494.88469104137,267220.04951666214,0
2017-03-23 02:00:00,75007.0,30.29463523527891,1807284.4165220296,757.9857783995965,49080812.64456018,0.7359583733827039,31575.876680048183,0.28736800657220296,28541.096032605426,0,37937.631970244176,37069.36802975578,0,0,0,0,0,0.5,gas,367980.0953247327,259837.27109343733,0
2017-03-23 03:00:00,71552.0,28.91897227449243,1705267.3956587985,866.0534224332084,46141583.07057177,0.5108423952827947,30218.789364191012,0.5288462457747762,26349.51739090568,0,34996.042621544046,36555.95737845591,0,0,0,0,0,1.0,coal,339304.81186338956,255093.4660362895,0
2017-03-23 04:00:00,67587.0,28.1338371392736,1592115.3524474264,942.586204090368,42828959.98094126,0.4197478323996934,26859.725408032693,0.7360441072495468,24191.448187010436,0,31778.163529921676,35808.83647007832,0,0,0,0,0,1.0,coal,307934.83166706446,248362.66748126646,0
2017-03-23 05:00:00,63839.0,27.5276756576721,1487545.5217324183,961.2969889953774,40458200.12674243,0.42739615653220153,26458.36170872195,0.8965947806435627,22885.13396914812,0,30738.042621544097,33100.95737845591,0,0,0,0,0,1.0,coal,297315.4158888679,227825.34527775602,0
2017-03-23 06:00:00,61561.0,26.972258517854065,1425352.122276264,905.6356726230663,38471506.369123355,1.2169141738972433,24724.437651243807,0.5311560233599205,20912.774349754567,0,28561.856119548433,32999.14388045157,0,0,0,0,0,1.0,coal,276808.67606687505,226921.90048748217,0
2017-03-23 07:00:00,60576.0,26.614709624456324,1398997.7435372677,645.8736843509323,38064555.7052066,0.3904510122271475,24576.25095506898,0.38471408784480743,20829.605082989823,0,28510.63345905327,32065.36654094674,0,0,0,0,0,0.5,gas,276238.88908155164,220389.79199464715,0
2017-03-23 08:00:00,60525.0,26.614709624456324,1397640.3933464205,645.8736843509323,38031043.75133802,0.3904510122271475,24569.330231622884,0.38471408784480743,20797.78424977626,0,28485.13345905327,32039.86654094674,0,0,0,0,0,0.5,gas,275986.16073147766,220212.9077530662,0
